,Tweet Text,Year,Inferred_Gender
566,این پسر افغان، توی پارک در یکی از شهرهای ترکیه در لرستان،باعث آزار و اذیت جنسی یه دختر بچه 8 ساله شده و مردم ریختند سرش و حسابی لت و پارش کردند. آخه حیوان چه چیز دختر بچه 8 ساله تو رو تحریک کرده! https://t.co/anuJ1yodvl,2018,Female
5844,@Mrs_tehrani 👌🏻 چرا تفکرشون این شد؟ اشاره کردی جنگ چون بین قبایل عرب جنگ زیاد بود دختران اسیر میشدن و بهشون تجاوز میشد این برای مردان عار وشکستن غیرتشون حساب میشد اولین جرقشم جنگ بنی تمیم با کسرایی ایران بودکه دختران اسیر شدن و بعد صلح دخترا قسمتیشون بر نگشتن واین بازم تحریک غیرت بود حدود ساعت ۲۳,2018,Female
6013,۱)سالروز قتل ایزدبانو علیاحضرت پرنسس سرکار علّیه خانم مهسا امینی : از زمان شکل‌گیری شهرنشینی و حتی قبل‌تر از اون ، مردها به زنها زور گفتن......زن رو مایه تحریک جنسی می‌دونن و با تحریک جنسی در دانشگاه،فقط یاد گا...دن میافتن......اونها رو محروم کردن.....به نظرشون زنها کمتر از مردها هستن......,2022,Female
7425,تجربه آزار جنسی به هرشکلش حتی ذره‌ای تقصیر تو نیس اصلا حتی اگه برهنه نیمه شب تو خیابون بودی در شیراز,2025,Unknown
